"filename", "language", "Vue", "XML", "comment", "blank", "total"
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\App.vue", "Vue", 0, 0, 0, 1, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\android.svg", "XML", 0, 1, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\apple.svg", "XML", 0, 63, 0, 2, 65
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\best_sell.svg", "XML", 0, 1, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\best_sell2.svg", "XML", 0, 13, 0, 0, 13
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\free.svg", "XML", 0, 73, 1, 1, 75
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\linux.svg", "XML", 0, 78, 1, 1, 80
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\recent.svg", "XML", 0, 4, 0, 1, 5
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\sale.svg", "XML", 0, 114, 1, 1, 116
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\star.svg", "XML", 0, 60, 1, 1, 62
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\top.svg", "XML", 0, 1, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\web.svg", "XML", 0, 3, 0, 1, 4
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\windows.svg", "XML", 0, 48, 1, 1, 50
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameBlog.vue", "Vue", 33, 0, 0, 0, 33
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameList.vue", "Vue", 84, 0, 0, 2, 86
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\HomeFAQ.vue", "Vue", 23, 0, 0, 0, 23
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\HomeFooter.vue", "Vue", 54, 0, 0, 0, 54
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\PlatformNavigation.vue", "Vue", 33, 0, 0, 0, 33
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\TopNavigation.vue", "Vue", 34, 0, 0, 0, 34
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\HomeView.vue", "Vue", 21, 0, 0, 0, 21
"Total", "-", 282, 459, 5, 12, 758