"filename", "language", "Vue", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\App.vue", "Vue", 44, 0, 0, 0, 2, 6, 52
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\logo\hapigames.svg", "XML", 0, 0, 0, 23, 0, 2, 25
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\android.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\apple.svg", "XML", 0, 0, 0, 63, 0, 2, 65
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\best_sell.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\best_sell2.svg", "XML", 0, 0, 0, 13, 0, 0, 13
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\free.svg", "XML", 0, 0, 0, 73, 1, 1, 75
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\linux.svg", "XML", 0, 0, 0, 78, 1, 1, 80
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\recent.svg", "XML", 0, 0, 0, 4, 0, 1, 5
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\sale.svg", "XML", 0, 0, 0, 114, 1, 1, 116
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\star.svg", "XML", 0, 0, 0, 60, 1, 1, 62
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\top.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\web.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\assets\svg\windows.svg", "XML", 0, 0, 0, 48, 1, 1, 50
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameBlog.vue", "Vue", 33, 0, 0, 0, 0, 0, 33
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameInfo.vue", "Vue", 98, 0, 0, 0, 0, 1, 99
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\GameList.vue", "Vue", 84, 0, 0, 0, 0, 2, 86
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\HomeFAQ.vue", "Vue", 23, 0, 0, 0, 0, 0, 23
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\HomeFooter.vue", "Vue", 54, 0, 0, 0, 0, 0, 54
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\PlatformNavigation.vue", "Vue", 33, 0, 0, 0, 0, 0, 33
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\HomeView\TopNavigation.vue", "Vue", 34, 0, 0, 0, 0, 0, 34
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\BottomBar.vue", "Vue", 44, 0, 0, 0, 0, 4, 48
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\SideBar.vue", "Vue", 200, 0, 0, 0, 0, 1, 201
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\SideBarHref.vue", "Vue", 38, 0, 0, 0, 0, 6, 44
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\SlideShow.vue", "Vue", 0, 0, 0, 0, 0, 1, 1
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\components\common\TopBar.vue", "Vue", 38, 0, 0, 0, 0, 0, 38
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\index.css", "CSS", 0, 0, 44, 0, 1, 1, 46
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\main.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 13
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\router\index.ts", "TypeScript", 0, 45, 0, 0, 0, 6, 51
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 1, 1, 7
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\store\index.ts", "TypeScript", 0, 13, 0, 0, 0, 2, 15
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\AboutView.vue", "Vue", 32, 0, 0, 0, 0, 5, 37
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\CommentTestView.vue", "Vue", 167, 0, 0, 0, 2, 3, 172
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\HomeLoginView.vue", "Vue", 16, 0, 0, 0, 0, 3, 19
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\HomeView.vue", "Vue", 228, 0, 0, 0, 1, 3, 232
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\LoginView.vue", "Vue", 101, 0, 0, 0, 0, 5, 106
"c:\Users\小能喵喵喵\Desktop\Vue\Homework\homework2\src\views\RegisterView.vue", "Vue", 145, 0, 0, 0, 0, 5, 150
"Total", "-", 1412, 73, 44, 482, 12, 69, 2092